"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Estimated annual rate per 10,000","Age-adjusted rate per 10,000"
"2022","Citywide","1","0","-","-","New York City","New York City","35,778","53.6","54.9"
"2022","Borough","1","1","1","Bronx","Bronx","Bronx","11,850","113.2","114.0"
"2022","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","10,351","51.2","52.4"
"2022","Borough","3","1","3","Manhattan","Manhattan","Manhattan","6,700","48.8","50.1"
"2022","Borough","5","1","5","Staten Island","Staten Island","Staten Island","1,398","36.1","38.2"
"2022","Borough","4","1","4","Queens","Queens","Queens","5,479","29.8","31.1"
"2022","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","1,750","174.9","175.5"
"2022","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","2,457","159.8","160.1"
"2022","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","1,384","152.7","155.3"
"2022","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","2,337","154.5","153.8"
"2022","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","2,045","139.0","139.0"
"2022","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","1,403","94.5","95.1"
"2022","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","1,395","88.3","93.1"
"2022","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","2,414","89.8","90.9"
"2022","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","1,737","90.8","90.4"
"2022","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","1,429","84.5","86.7"
"2022","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","755","76.8","83.2"
"2022","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","421","78.6","79.2"
"2022","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","1,706","76.6","78.1"
"2022","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","1,589","68.1","70.5"
"2022","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","589","57.6","59.8"
"2022","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","829","51.2","54.6"
"2022","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","1,220","47.5","49.5"
"2022","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","983","44.7","45.1"
"2022","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","286","39.5","41.4"
"2022","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","762","35.8","38.0"
"2022","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","589","36.2","36.7"
"2022","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","455","32.3","33.6"
"2022","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","695","31.7","32.3"
"2022","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","525","30.1","31.8"
"2022","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","288","31.2","31.7"
"2022","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","514","30.6","31.6"
"2022","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","298","27.4","30.9"
"2022","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","615","26.6","29.3"
"2022","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","118","22.2","25.2"
"2022","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","416","22.3","24.5"
"2022","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","747","20.6","21.1"
"2022","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","149","19.6","21.0"
"2022","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","373","18.0","19.3"
"2022","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","136","17.7","18.9"
"2022","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","248","14.3","15.5"
"2022","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","222","14.3","15.1"
"2022","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","340","14.6","14.8"
"2022","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","167","13.8","14.8"
"2022","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","207","12.6","13.3"
"2022","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","226","10.8","12.2"
"2022","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","72","9.8","10.3"
"2022","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","61","8.9","9.0"
"2022","Community District","201","6","1","Bronx","Mott Haven and Melrose (CD1)","Mott Haven and Melrose (CD1)  Bronx","1,577","229.4","230.1"
"2022","Community District","206","6","1","Bronx","Belmont and East Tremont (CD6)","Belmont and East Tremont (CD6)  Bronx","1,078","180.5","182.5"
"2022","Community District","110","6","3","Manhattan","Central Harlem (CD10)","Central Harlem (CD10)  Manhattan","1,651","183.9","182.3"
"2022","Community District","203","6","1","Bronx","Morrisania and Crotona (CD3)","Morrisania and Crotona (CD3)  Bronx","1,109","178.2","178.2"
"2022","Community District","316","6","2","Brooklyn","Brownsville (CD16)","Brownsville (CD16)  Brooklyn","1,007","168.8","174.3"
"2022","Community District","111","6","3","Manhattan","East Harlem (CD11)","East Harlem (CD11)  Manhattan","1,546","161.1","163.6"
"2022","Community District","202","6","1","Bronx","Hunts Point and Longwood (CD2)","Hunts Point and Longwood (CD2)  Bronx","537","136.4","136.7"
"2022","Community District","205","6","1","Bronx","Fordham and University Heights (CD5)","Fordham and University Heights (CD5)  Bronx","1,247","132.2","130.3"
"2022","Community District","212","6","1","Bronx","Williamsbridge and Baychester (CD12)","Williamsbridge and Baychester (CD12)  Bronx","1,380","121.1","124.7"
"2022","Community District","204","6","1","Bronx","Highbridge and Concourse (CD4)","Highbridge and Concourse (CD4)  Bronx","1,319","119.4","119.7"
"2022","Community District","305","6","2","Brooklyn","East New York and Starrett City (CD5)","East New York and Starrett City (CD5)  Brooklyn","1,355","104.7","106.2"
"2022","Community District","303","6","2","Brooklyn","Bedford Stuyvesant (CD3)","Bedford Stuyvesant (CD3)  Brooklyn","1,158","102.4","103.7"
"2022","Community District","414","6","4","Queens","Rockaway and Broad Channel (CD14)","Rockaway and Broad Channel (CD14)  Queens","755","91.8","99.0"
"2022","Community District","317","6","2","Brooklyn","East Flatbush (CD17)","East Flatbush (CD17)  Brooklyn","1,060","87.5","93.7"
"2022","Community District","209","6","1","Bronx","Parkchester and Soundview (CD9)","Parkchester and Soundview (CD9)  Bronx","1,136","83.4","84.2"
"2022","Community District","211","6","1","Bronx","Morris Park and Bronxdale (CD11)","Morris Park and Bronxdale (CD11)  Bronx","670","78.2","80.1"
"2022","Community District","304","6","2","Brooklyn","Bushwick (CD4)","Bushwick (CD4)  Brooklyn","652","78.2","77.8"
"2022","Community District","207","6","1","Bronx","Kingsbridge Heights and Bedford (CD7)","Kingsbridge Heights and Bedford (CD7)  Bronx","806","76.1","75.8"
"2022","Community District","308","6","2","Brooklyn","Crown Heights and Prospect Heights (CD8)","Crown Heights and Prospect Heights (CD8)  Brooklyn","552","72.1","73.8"
"2022","Community District","109","6","3","Manhattan","Morningside Heights and Hamilton Heights (CD9)","Morningside Heights and Hamilton Heights (CD9)  Manhattan","576","64.8","66.9"
"2022","Community District","309","6","2","Brooklyn","South Crown Heights and Lefferts Gardens (CD9)","South Crown Heights and Lefferts Gardens (CD9)  Brooklyn","489","63.9","66.2"
"2022","Community District","501","6","5","Staten Island","St. George and Stapleton (CD1)","St. George and Stapleton (CD1)  Staten Island","936","63.8","65.4"
"2022","Community District","412","6","4","Queens","Jamaica and Hollis (CD12)","Jamaica and Hollis (CD12)  Queens","1,042","57.7","59.9"
"2022","Community District","210","6","1","Bronx","Throgs Neck and Co-op City (CD10)","Throgs Neck and Co-op City (CD10)  Bronx","485","51.9","55.1"
"2022","Community District","313","6","2","Brooklyn","Coney Island (CD13)","Coney Island (CD13)  Brooklyn","419","47.2","54.4"
"2022","Community District","318","6","2","Brooklyn","Flatlands and Canarsie (CD18)","Flatlands and Canarsie (CD18)  Brooklyn","719","49.2","51.4"
"2022","Community District","302","6","2","Brooklyn","Fort Greene and Brooklyn Heights (CD2)","Fort Greene and Brooklyn Heights (CD2)  Brooklyn","465","40.8","43.4"
"2022","Community District","208","6","1","Bronx","Riverdale and Fieldston (CD8)","Riverdale and Fieldston (CD8)  Bronx","324","41.5","43.2"
"2022","Community District","103","6","3","Manhattan","Lower East Side and Chinatown (CD3)","Lower East Side and Chinatown (CD3)  Manhattan","619","42.3","43.0"
"2022","Community District","112","6","3","Manhattan","Washington Heights and Inwood (CD12)","Washington Heights and Inwood (CD12)  Manhattan","657","42.4","43.0"
"2022","Community District","301","6","2","Brooklyn","Greenpoint and Williamsburg (CD1)","Greenpoint and Williamsburg (CD1)  Brooklyn","573","38.2","42.5"
"2022","Community District","314","6","2","Brooklyn","Flatbush and Midwood (CD14)","Flatbush and Midwood (CD14)  Brooklyn","504","40.7","41.3"
"2022","Community District","413","6","4","Queens","Queens Village (CD13)","Queens Village (CD13)  Queens","522","33.8","36.4"
"2022","Community District","409","6","4","Queens","Kew Gardens and Woodhaven (CD9)","Kew Gardens and Woodhaven (CD9)  Queens","386","34.8","35.1"
"2022","Community District","306","6","2","Brooklyn","Park Slope and Carroll Gardens (CD6)","Park Slope and Carroll Gardens (CD6)  Brooklyn","279","31.2","35.0"
"2022","Community District","401","6","4","Queens","Long Island City and Astoria (CD1)","Long Island City and Astoria (CD1)  Queens","547","34.5","35.0"
"2022","Community District","410","6","4","Queens","South Ozone Park and Howard Beach (CD10)","South Ozone Park and Howard Beach (CD10)  Queens","310","32.3","33.1"
"2022","Community District","104","6","3","Manhattan","Clinton and Chelsea (CD4)","Clinton and Chelsea (CD4)  Manhattan","379","29.7","31.4"
"2022","Community District","307","6","2","Brooklyn","Sunset Park (CD7)","Sunset Park (CD7)  Brooklyn","277","27.0","28.1"
"2022","Community District","107","6","3","Manhattan","Upper West Side (CD7)","Upper West Side (CD7)  Manhattan","401","23.2","26.4"
"2022","Community District","405","6","4","Queens","Ridgewood and Maspeth (CD5)","Ridgewood and Maspeth (CD5)  Queens","307","25.2","26.1"
"2022","Community District","408","6","4","Queens","Hillcrest and Fresh Meadows (CD8)","Hillcrest and Fresh Meadows (CD8)  Queens","300","24.5","25.5"
"2022","Community District","502","6","5","Staten Island","South Beach and Willowbrook (CD2)","South Beach and Willowbrook (CD2)  Staten Island","269","23.4","24.5"
"2022","Community District","404","6","4","Queens","Elmhurst and Corona (CD4)","Elmhurst and Corona (CD4)  Queens","292","20.0","20.3"
"2022","Community District","403","6","4","Queens","Jackson Heights (CD3)","Jackson Heights (CD3)  Queens","245","17.7","18.3"
"2022","Community District","105","6","3","Manhattan","Midtown (CD5)","Midtown (CD5)  Manhattan","92","17.1","17.7"
"2022","Community District","106","6","3","Manhattan","Stuyvesant Town and Turtle Bay (CD6)","Stuyvesant Town and Turtle Bay (CD6)  Manhattan","184","14.8","15.9"
"2022","Community District","101","6","3","Manhattan","Financial District (CD1)","Financial District (CD1)  Manhattan","62","12.3","15.4"
"2022","Community District","503","6","5","Staten Island","Tottenville and Great Kills (CD3)","Tottenville and Great Kills (CD3)  Staten Island","176","14.1","15.1"
"2022","Community District","108","6","3","Manhattan","Upper East Side (CD8)","Upper East Side (CD8)  Manhattan","250","13.7","14.9"
"2022","Community District","315","6","2","Brooklyn","Sheepshead Bay (CD15)","Sheepshead Bay (CD15)  Brooklyn","184","13.3","13.9"
"2022","Community District","312","6","2","Brooklyn","Borough Park (CD12)","Borough Park (CD12)  Brooklyn","173","13.2","13.3"
"2022","Community District","310","6","2","Brooklyn","Bay Ridge and Dyker Heights (CD10)","Bay Ridge and Dyker Heights (CD10)  Brooklyn","140","12.3","12.9"
"2022","Community District","407","6","4","Queens","Flushing and Whitestone (CD7)","Flushing and Whitestone (CD7)  Queens","228","10.4","12.0"
"2022","Community District","406","6","4","Queens","Rego Park and Forest Hills (CD6)","Rego Park and Forest Hills (CD6)  Queens","105","11.2","11.7"
"2022","Community District","402","6","4","Queens","Woodside and Sunnyside (CD2)","Woodside and Sunnyside (CD2)  Queens","138","11.1","11.6"
"2022","Community District","311","6","2","Brooklyn","Bensonhurst (CD11)","Bensonhurst (CD11)  Brooklyn","168","10.1","10.5"
"2022","Community District","411","6","4","Queens","Bayside and Little Neck (CD11)","Bayside and Little Neck (CD11)  Queens","86","9.1","9.2"
"2022","Community District","102","6","3","Manhattan","Greenwich Village and Soho (CD2)","Greenwich Village and Soho (CD2)  Manhattan","51","6.6","6.6"
"2021","Citywide","1","0","-","-","New York City","New York City","32,738","48.6","49.7"
"2021","Borough","1","1","1","Bronx","Bronx","Bronx","10,641","98.9","99.3"
"2021","Borough","3","1","3","Manhattan","Manhattan","Manhattan","6,515","48.2","49.7"
"2021","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","8,997","43.9","44.9"
"2021","Borough","5","1","5","Staten Island","Staten Island","Staten Island","1,227","31.6","33.7"
"2021","Borough","4","1","4","Queens","Queens","Queens","5,358","28.6","29.9"
"2021","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","1,355","150.7","152.6"
"2021","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","1,499","145.9","145.9"
"2021","UHF 42","105","4","1","Bronx","Crotona -Tremont","Crotona -Tremont  Bronx","2,190","140.9","140.3"
"2021","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","2,159","136.7","136.5"
"2021","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","1,991","136.6","136.2"
"2021","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","1,266","78.2","82.9"
"2021","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","1,335","77.8","80.1"
"2021","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","2,081","76.0","77.0"
"2021","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","404","75.2","75.0"
"2021","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","1,489","75.7","74.9"
"2021","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","699","69.5","74.9"
"2021","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","1,065","70.4","70.6"
"2021","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","1,593","69.6","70.3"
"2021","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","1,497","63.1","65.4"
"2021","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","467","45.7","48.4"
"2021","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","1,214","46.4","48.3"
"2021","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","657","39.8","42.0"
"2021","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","909","41.7","42.0"
"2021","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","607","38.2","39.2"
"2021","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","487","35.3","36.5"
"2021","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","688","32.0","35.5"
"2021","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","249","33.5","35.2"
"2021","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","148","28.7","33.1"
"2021","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","530","29.8","32.8"
"2021","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","300","32.1","32.3"
"2021","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","696","31.2","31.6"
"2021","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","497","28.9","29.9"
"2021","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","535","23.0","25.4"
"2021","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","842","22.9","23.2"
"2021","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","221","20.1","22.6"
"2021","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","356","19.4","21.5"
"2021","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","141","18.6","21.3"
"2021","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","193","16.3","18.3"
"2021","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","339","16.1","17.5"
"2021","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","125","16.1","16.8"
"2021","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","208","12.2","13.8"
"2021","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","203","13.0","13.8"
"2021","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","218","10.3","11.7"
"2021","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","245","10.4","10.7"
"2021","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","143","8.6","9.3"
"2021","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","54","8.0","8.0"
"2021","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","44","5.9","6.0"
"2021","Community District","201","6","1","Bronx","Mott Haven and Melrose (CD1)","Mott Haven and Melrose (CD1)  Bronx","1,282","181.8","181.6"
"2021","Community District","110","6","3","Manhattan","Central Harlem (CD10)","Central Harlem (CD10)  Manhattan","1,596","178.3","177.1"
"2021","Community District","206","6","1","Bronx","Belmont and East Tremont (CD6)","Belmont and East Tremont (CD6)  Bronx","1,011","164.7","166.6"
"2021","Community District","111","6","3","Manhattan","East Harlem (CD11)","East Harlem (CD11)  Manhattan","1,475","154.7","156.5"
"2021","Community District","203","6","1","Bronx","Morrisania and Crotona (CD3)","Morrisania and Crotona (CD3)  Bronx","998","156.1","155.8"
"2021","Community District","316","6","2","Brooklyn","Brownsville (CD16)","Brownsville (CD16)  Brooklyn","768","126.0","128.6"
"2021","Community District","205","6","1","Bronx","Fordham and University Heights (CD5)","Fordham and University Heights (CD5)  Bronx","1,190","122.6","121.7"
"2021","Community District","202","6","1","Bronx","Hunts Point and Longwood (CD2)","Hunts Point and Longwood (CD2)  Bronx","454","112.4","112.7"
"2021","Community District","212","6","1","Bronx","Williamsbridge and Baychester (CD12)","Williamsbridge and Baychester (CD12)  Bronx","1,220","104.3","106.6"
"2021","Community District","204","6","1","Bronx","Highbridge and Concourse (CD4)","Highbridge and Concourse (CD4)  Bronx","1,189","104.9","104.6"
"2021","Community District","303","6","2","Brooklyn","Bedford Stuyvesant (CD3)","Bedford Stuyvesant (CD3)  Brooklyn","1,143","99.1","100.3"
"2021","Community District","414","6","4","Queens","Rockaway and Broad Channel (CD14)","Rockaway and Broad Channel (CD14)  Queens","699","83.1","89.2"
"2021","Community District","209","6","1","Bronx","Parkchester and Soundview (CD9)","Parkchester and Soundview (CD9)  Bronx","1,103","79.0","79.3"
"2021","Community District","305","6","2","Brooklyn","East New York and Starrett City (CD5)","East New York and Starrett City (CD5)  Brooklyn","987","74.9","75.8"
"2021","Community District","317","6","2","Brooklyn","East Flatbush (CD17)","East Flatbush (CD17)  Brooklyn","867","70.2","74.5"
"2021","Community District","304","6","2","Brooklyn","Bushwick (CD4)","Bushwick (CD4)  Brooklyn","617","72.8","73.0"
"2021","Community District","308","6","2","Brooklyn","Crown Heights and Prospect Heights (CD8)","Crown Heights and Prospect Heights (CD8)  Brooklyn","544","69.8","71.9"
"2021","Community District","211","6","1","Bronx","Morris Park and Bronxdale (CD11)","Morris Park and Bronxdale (CD11)  Bronx","594","67.4","69.2"
"2021","Community District","109","6","3","Manhattan","Morningside Heights and Hamilton Heights (CD9)","Morningside Heights and Hamilton Heights (CD9)  Manhattan","570","65.2","67.0"
"2021","Community District","412","6","4","Queens","Jamaica and Hollis (CD12)","Jamaica and Hollis (CD12)  Queens","1,118","60.7","63.5"
"2021","Community District","207","6","1","Bronx","Kingsbridge Heights and Bedford (CD7)","Kingsbridge Heights and Bedford (CD7)  Bronx","689","63.3","62.6"
"2021","Community District","309","6","2","Brooklyn","South Crown Heights and Lefferts Gardens (CD9)","South Crown Heights and Lefferts Gardens (CD9)  Brooklyn","457","58.7","61.6"
"2021","Community District","501","6","5","Staten Island","St. George and Stapleton (CD1)","St. George and Stapleton (CD1)  Staten Island","822","56.0","57.4"
"2021","Community District","210","6","1","Bronx","Throgs Neck and Co-op City (CD10)","Throgs Neck and Co-op City (CD10)  Bronx","437","45.6","47.9"
"2021","Community District","103","6","3","Manhattan","Lower East Side and Chinatown (CD3)","Lower East Side and Chinatown (CD3)  Manhattan","647","45.3","46.8"
"2021","Community District","318","6","2","Brooklyn","Flatlands and Canarsie (CD18)","Flatlands and Canarsie (CD18)  Brooklyn","639","43.0","44.5"
"2021","Community District","313","6","2","Brooklyn","Coney Island (CD13)","Coney Island (CD13)  Brooklyn","338","37.7","43.5"
